,x,y,z,average2,average3,average4,average5,average6,complete2,complete3,complete4,complete5,complete6,single2,single3,single4,single5,single6,ward2,ward3,ward4,ward5,ward6
X1_91,33.742824802164165,6.974831161764972,-12.716228238656617,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_46,18.69917855033824,16.905679142988234,-4.4251876800918595,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_52,33.768703530816815,30.992858439259276,-14.65715787590662,0,2,2,2,2,0,0,1,4,4,0,0,0,0,0,0,0,0,2,2
X1_132,26.506756647553356,15.419271210085292,-32.07186671256042,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2
X1_126,9.793771381311824,15.086629313785703,0.9950729182064092,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_130,9.94333193403024,26.214076143887876,2.0703952136675166,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_124,11.27099510982566,-5.042712434176996,1.3672603123687348,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_118,-10.044441497786114,-6.683612751369922,11.883613046596594,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_44,24.64491566524776,14.492044470619216,-2.7968488173976604,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_50,18.786703098483386,16.83874804150002,-4.319395416393241,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_78,9.23473878678466,3.7027980189237026,-5.486754317778601,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_87,10.134379556159058,-4.178206293779143,-21.834463062336024,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_93,6.0093083624663395,15.725911119238695,-19.396879385842155,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_92,17.08689729065636,13.395805009208841,-23.221917356583837,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_86,28.12319263741264,4.1885810222109825,-31.47577256378857,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2
X1_79,-11.186934917696728,-11.505141781856715,5.155898104451238,0,0,1,4,4,0,2,0,1,1,0,0,0,0,2,1,1,3,3,1
X1_51,8.92259137287675,-2.8942829386494515,-28.553264296646137,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_45,18.766684440079686,-12.547813998759723,-22.25766954935604,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0
X1_119,18.381368124694557,-15.123145382189886,10.483057245432189,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,2,2,0,3
X1_125,6.883747217009867,-4.42888930431692,9.459093137582384,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
X1_131,0.6526388982949953,-4.588914641619475,14.360238216553252,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_109,-2.3166725710258853,0.41918438973483585,15.715284695049705,0,0,0,0,5,0,2,0,2,2,0,0,0,0,0,0,2,2,0,5
X1_135,21.29582074172213,10.619037432660617,7.15516766950133,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,0,1,1,0
X1_121,12.001188043953732,-1.2607327340644148,16.670215381817496,0,0,0,0,1,0,2,0,2,2,0,0,0,0,0,0,2,2,0,3
