,x,y,average2,average3,average4,average5,complete2,complete3,complete4,complete5,single2,single3,single4,single5,ward2,ward3,ward4,ward5
Y1_310,-18.51872359743611,-6.990799053663533,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_338,-19.967586958894724,-5.1081345599028385,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_106,-18.59462639615188,-5.2061086592065635,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_112,-17.80433416654557,-8.809168531968657,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_113,-19.89616656409823,-1.8004181242014716,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_107,-19.348191487607604,-7.70305507622102,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_339,-19.605578299421445,-6.164167284737102,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_311,-19.57909191584472,-3.779618861183675,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_305,-17.338249517190324,-7.540345338492033,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_313,-18.182876336782712,-6.52409225887723,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_307,-19.488440454836777,-7.273572376980515,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_111,-20.06450291017287,-5.279801026303133,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_105,-19.041115522705788,-6.075259062860889,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_104,-17.53313401034658,-9.492274341906466,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_110,-16.5667837848574,-9.674565853323886,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_306,-20.62052209470391,-0.7348449805481421,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_312,-17.952909816218664,-6.315406317548786,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_316,-16.83315608997628,-10.62916040010028,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_302,-17.219336150490545,-8.25555470340809,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_114,-20.988181874229568,-2.3531685685322685,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_101,-17.456157531326525,-7.107017627627885,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_115,-18.163681354281795,-9.029552799018107,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_303,-16.149358958398544,-8.966313164984467,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_317,-17.941858142305513,-7.6520492555779756,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_329,-19.2320880500951,-5.055333747136175,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_301,-20.122706896084797,-1.1893170071378256,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_315,-19.397683549489166,-7.566899797303328,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_103,-16.97393314864548,-10.182325394359898,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_117,-17.363996658778404,-9.958864352769394,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_116,-18.286650016868908,-8.443791045270471,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_102,-20.019736654780232,0.009538052356758003,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_314,-19.360115355226903,-4.151100765427896,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_328,-19.35039946812327,-4.439759208198293,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_213,-19.51896294740844,-4.844983703018138,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_207,-19.809046299459187,-0.9156090960056307,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_206,-16.89883128471835,-8.881636295615083,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_212,-16.863876681302155,-9.433269835567314,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_204,-15.954260619497797,-10.15565196295117,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_210,-17.64318595310003,-7.617398968721383,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_211,-19.81181064781191,-0.4426865695716915,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_205,-19.707911535736475,-3.7329018420977977,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_349,-18.22454864319597,-5.475457647422885,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_201,-20.0914751203689,-2.454698289406259,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_215,-19.46709634404387,-2.398266673324362,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_214,-20.225420733967397,-2.2886831431369923,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_348,-20.398671643550603,-0.7525071248611712,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_216,-18.370625852720245,-8.77427135530603,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_202,-19.08813149326066,-4.207751397888683,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_203,-20.47863030983607,-4.650560044015296,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_217,-19.670927778095347,-5.853942961311349,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_346,-17.960217006364314,-8.005989891105589,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_347,-19.37657245269903,-5.186367545281348,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_345,-19.96280408542573,0.21555870989390463,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_219,-19.57105896725468,-5.282548238944164,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_218,-20.587805894205243,-4.5195372668709295,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_224,-18.39050481458409,4.931645177091001,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_344,-18.571620428970377,-6.828800391090129,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_340,-16.44532039726757,-10.349117786349215,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_208,-15.83400593049655,-10.290444913244977,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_220,-18.168856409611376,-6.365190836604401,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_221,-16.916247374047316,-8.510481515223573,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_209,-18.822943240297132,-7.406005351847665,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_341,-20.611400246690746,-2.770565079277458,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_343,-17.275605262418235,-7.363640347287543,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_223,-20.200897042356946,-2.6965457823898675,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_222,-18.300288953480436,-6.9907433271197235,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_342,-19.858867246532547,-6.558716772441923,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_325,-18.63597287154795,-6.7785681355794365,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_331,-17.730264837711182,-7.766109381961792,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_319,-19.456656543101243,-5.49744878978587,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_127,-16.51182831181679,-7.777955393891897,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_126,-19.62251863305,1.308957538806817,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_318,-17.155835813361875,-9.182412291874785,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_330,-17.509607227486832,-7.84728787655147,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_324,-16.964473566225013,-7.784797836202329,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_332,-19.525202647946532,2.8734102535388057,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_326,-17.84004205448352,-9.027379550219331,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_124,-17.296002628377057,-8.051013705951252,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_118,-18.580025472554023,4.841751225793006,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_119,-19.647306384011184,2.8604339407685915,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_125,-19.274986967519695,0.5285687891610982,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_327,-18.560166115660014,-6.2365195875380675,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_333,-18.717942954070406,-5.735314526518156,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_337,-17.777799483448568,-6.118686392706973,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_323,-19.124304010732274,-4.9905212118415045,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_109,-20.061231738418176,-0.7674638779572787,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
Y1_121,-18.558527650883132,-5.873404542719348,0,2,2,2,1,0,3,3,0,0,1,1,1,1,1,1
