,x,y,z,average3,average4,average5,average6,average7,average8,average9,average10,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single3,single4,single5,single6,single7,single8,single9,single10,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
Y1_316,-2.0937003315377,0.14226594386380217,0.6027325894775117,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_302,-2.0721644733928097,-0.4456768422873088,0.19957943591852959,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_114,-1.0812338197064348,0.038688871912327984,1.355525134415266,0,0,4,4,4,1,0,8,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,1,0,1,1,0,7,7,7
Y1_101,-2.0702679322297817,-0.5018402931486647,0.2927219790684573,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_115,-2.1054791248282703,-0.6144291190668769,0.5912783553864445,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_303,-1.7089924755406,-1.039612890283174,0.17495448581702835,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_317,-2.083351460381274,-0.42125505862424484,0.3663998177057468,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_329,-2.026446988333865,-0.08627807152910581,0.5898826925726003,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_301,-1.679796216279286,-0.38239768361487453,1.036951620656244,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
Y1_315,-2.0869040784938404,0.16213079047796441,0.5894064437678237,0,0,4,4,4,1,0,9,2,0,4,4,4,1,1,0,2,2,2,0,6,2,0,0,2,2,2,2,2,2,2,0
