,x,y,z,average2,average3,average4,average5,average6,average7,average8,average9,average10,complete2,complete3,complete4,complete5,complete6,complete7,complete8,complete9,complete10,single2,single3,single4,single5,single6,single7,single8,single9,single10,ward2,ward3,ward4,ward5,ward6,ward7,ward8,ward9,ward10
X1_39,40.958173353978616,-188.10312467605448,117.20261795266327,0,0,2,0,2,2,0,1,1,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,4
X1_38,21.075310520999352,-113.22950990471071,95.12549534392915,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_4,-213.831145987521,-5.317871050227112,-245.46304856690594,0,0,2,0,2,2,0,3,3,0,0,0,1,0,6,6,6,2,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,5
X1_10,-20.591005666624653,78.79085348623217,154.5236676126666,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_6,-252.0679120805289,139.07895122733834,198.1052239020913,0,2,0,2,0,6,2,2,0,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,7,7,7
X1_12,-178.4772534161742,-26.14461993763463,-255.17364069836552,0,0,2,0,2,2,0,3,3,0,0,0,1,0,6,6,6,2,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,5
X1_13,-157.9616400707064,239.79010863395487,-27.7466596070698,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_7,-26.33562841432918,-388.3071648625739,-208.5793707480331,0,0,1,4,4,4,4,4,9,0,0,1,0,5,5,5,5,5,0,0,1,0,2,2,2,2,2,1,1,0,1,1,1,0,3,3
X1_3,-157.73647570409597,240.10212106753931,-28.45906780297052,0,2,0,2,0,0,3,8,8,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,3,8,8
X1_17,-170.5884920855711,24.544342483067332,-0.8555149398974037,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,6,6,6
X1_16,34.77843326384517,45.65811924879286,132.96615205033046,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_2,-48.01652522463415,-19.5247534743835,183.27206320072227,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_28,-43.59192513499447,172.38647957177562,-21.992068291788307,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_14,-110.11722681662329,-55.03409593008616,125.45562753023954,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_0,-97.5279993119229,-129.890902186257,-1.280154679310525,0,2,0,1,1,1,1,0,4,0,2,2,2,2,0,3,3,3,0,0,1,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1
X1_1,104.90381158201407,-6.766270307584388,111.07885680097148,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
X1_15,462.2369281948129,-192.82947162193165,-427.8928467539337,1,1,3,3,3,3,7,7,7,1,1,3,3,3,3,7,7,7,1,1,3,3,3,3,3,8,8,1,1,0,4,4,4,4,4,9
X1_29,-87.33007901222351,-29.670979444865637,-97.44583893794834,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,5,2
X1_30,58.03890302009847,36.38710436123995,165.88834316160757,0,2,0,1,1,1,1,0,2,0,2,2,2,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,2,0
