,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
X1_64,-0.5673372226000072,1.33273605937976,-0.8583505761838639,0,1,1,0,1,0,2,2,2,1,0,1
X1_138,-0.7752819646993253,1.1726201731792416,-0.27598597043732065,0,1,1,0,1,0,2,2,2,1,0,1
X1_104,-0.4951941070583536,0.15444898364734128,-0.39820022367039604,0,1,1,0,1,0,2,2,2,1,0,4
X1_110,0.7080287884854599,0.5809396415196709,0.20256537738131783,0,1,1,0,1,0,2,2,2,1,0,4
X1_128,-1.669036443736555,2.5192839434191403,-0.6447205474685265,0,1,1,0,1,0,2,2,2,1,0,1
X1_114,-1.512153065818335,1.9897556183672118,-0.28816439168686536,0,1,1,0,1,0,2,2,2,1,0,1
X1_100,-0.8532284933871813,1.653893776402298,-0.504492364644267,0,1,1,0,1,0,2,2,2,1,0,1
X1_48,-0.3795623361696534,-1.535449801414984,1.8974846656697915,0,0,4,0,0,4,2,2,2,2,2,2
X1_60,0.38979408531431964,0.5587212736778315,-1.1176677434781688,0,1,1,0,1,0,2,2,2,1,0,4
X1_74,-1.2174939910704796,1.5657314021326028,-0.5941576880157963,0,1,1,0,1,0,2,2,2,1,0,1
X1_75,1.1594407743906936,0.8197643010658333,-0.33290142662261796,0,1,1,0,1,0,2,2,2,1,0,4
X1_61,1.475509336585251,-1.1058943749000045,1.752660898843499,0,0,4,0,0,4,2,2,2,2,2,2
X1_49,0.7247941519970127,-0.582970610570016,0.900727117098607,0,0,4,0,1,0,2,2,2,2,2,2
X1_101,-0.2581772889390624,-3.9175035026635245,1.054996583237289,0,0,2,0,0,3,2,2,2,0,1,0
X1_115,-0.6644902705436863,1.011139867884862,0.560887816380516,0,1,1,0,1,0,2,2,2,1,0,4
X1_129,-1.9285927982774123,2.1117396187315722,-0.6693426671168792,0,1,1,0,1,0,2,2,2,1,0,1
X1_103,0.175039833687845,-2.984631278169272,-0.4111811548712289,0,0,2,0,0,3,2,2,2,2,2,2
X1_117,0.2767337784071732,0.6958674129926776,0.857028634406743,0,1,1,0,1,0,2,2,2,1,0,4
X1_77,1.1900450592850857,1.4735939553875472,-0.04345286760560912,0,1,1,0,1,0,2,2,2,1,0,4
X1_63,0.4956134853549524,0.9624487782329186,-1.0670237595034602,0,1,1,0,1,0,2,2,2,1,0,4
X1_88,0.3399981408124448,0.5588585212707615,-1.4128539550918053,0,1,1,0,1,0,2,2,2,1,0,4
X1_89,0.368397519922372,1.5446515197511308,0.6186311414900185,0,1,1,0,1,0,2,2,2,1,0,4
X1_62,-0.3025559552478594,-1.629381109986125,2.4074914976978636,0,0,4,0,0,4,2,2,2,2,2,2
X1_76,-1.900347532225213,2.261887908795845,-0.7629199962744877,0,1,1,0,1,0,2,2,2,1,0,1
X1_116,1.307762418868523,-1.4444751197074317,-0.8354158514075358,0,0,4,0,0,4,2,2,2,2,2,2
X1_102,0.5004704663983043,-4.203898033860748,-0.5992366224976161,0,0,2,0,0,3,2,2,2,0,1,0
X1_11,0.19859031108770112,-0.7505153049780855,1.2224761123410968,0,0,4,0,1,0,2,2,2,2,2,2
X1_5,0.5007871735578998,1.732817208109901,-0.14995034381337394,0,1,1,0,1,0,2,2,2,1,0,1
