,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
34,-54.17370072369437,-61.42698798243856,-112.30107032625148,0,2,0,0,0,0,0,0,0,1,0,4
8,-141.26098726613202,123.40501208160985,73.71255275468965,0,2,0,0,0,0,0,0,0,1,0,4
127,-86.10048449947618,0.3381812718573221,-105.74317244238706,0,2,0,0,0,0,0,0,0,1,0,4
133,-32.43962155178367,-21.466187982482342,-40.901576448208566,0,2,0,0,0,0,0,0,0,1,0,4
53,263.118491415912,-160.36439339300054,118.08678476281032,2,0,1,2,2,2,0,0,0,0,1,0
47,137.62767569115798,-135.10134112056,-52.9082921467235,0,2,0,0,1,1,0,0,0,1,0,1
90,52.81935603406953,182.07332906786397,33.651775505191985,0,2,0,0,0,0,0,0,0,1,0,1
84,94.71452467365424,108.55319693792411,-8.694887314021901,0,2,0,0,0,0,0,0,0,1,0,1
85,-190.2073195583245,-97.04264346863432,-67.26542813265223,0,2,0,0,0,0,0,0,0,1,0,4
91,209.0908095203902,73.90915145914568,-121.07076282798656,2,0,1,0,1,1,0,0,0,0,1,0
46,79.22580940688313,125.24547790638717,25.577772099240192,0,2,0,0,0,0,0,0,0,1,0,1
52,309.16076633496067,222.58103618418443,-24.86730898461582,2,0,2,2,2,2,0,0,0,0,1,0
132,345.3572679715428,-6.302558533746433,60.690293604415416,2,0,1,2,2,2,0,0,0,0,1,0
126,-34.96475342158709,105.32975362571494,70.48114924230467,0,2,0,0,0,0,0,0,0,1,0,4
130,-8.661902255192551,201.05267326095415,122.16147821208425,0,2,0,0,0,0,0,0,0,1,0,1
124,-73.27073722934766,-53.13448484894816,-28.155240444879134,0,2,0,0,0,0,0,0,0,1,0,4
118,-282.63877715342886,-59.6590479613433,60.72073819663586,0,1,4,0,0,4,0,0,0,2,2,2
44,106.58831368998429,125.96678782431123,-47.216448370479895,0,2,0,0,0,0,0,0,0,1,0,1
50,78.97495269115088,125.5842302567867,23.6767450275281,0,2,0,0,0,0,0,0,0,1,0,1
78,-25.46420199057273,-22.919978530303553,51.62197437587156,0,2,0,0,0,0,0,0,0,1,0,4
87,84.81061721388613,-156.29518652986835,87.45608780447309,0,2,0,0,1,1,0,0,0,1,0,1
93,87.03051231085111,25.736317208876226,191.20277945681602,2,0,1,0,1,1,0,0,0,0,1,0
92,220.09672424686855,5.124359374698117,72.68534935581575,2,0,1,0,1,1,0,0,0,0,1,0
86,319.08047328356474,-81.29640298201686,20.59899257088888,2,0,1,2,2,2,0,0,0,0,1,0
79,-266.88583299335727,-121.50037559831232,57.33363134899894,0,1,4,0,0,4,0,0,0,2,2,2
51,124.667755677299,-174.14502131292744,143.06464041534574,2,0,1,0,1,1,0,0,0,0,1,0
45,127.58450378122313,-214.9972121975133,-8.0398858118826,2,0,1,0,1,1,0,0,0,0,1,0
119,-86.8398785004554,-51.884403553191305,-217.1337334661388,0,2,0,0,0,0,0,0,0,1,0,1
125,-152.24048839859176,-15.611076102734838,-48.73522070992083,0,2,0,0,0,0,0,0,0,1,0,4
131,-225.5478341510865,-8.586933001993618,-57.36822241426259,0,1,4,0,0,4,0,0,0,2,2,2
109,-246.5066685978367,34.606430539539055,-17.419602298694652,0,1,4,0,0,4,0,0,0,2,2,2
135,-1.2173253398568993,134.37442707737168,-70.30793717209652,0,2,0,0,0,0,0,0,0,1,0,4
121,-148.124769927656,64.22830911654718,-129.759965947752,0,2,0,0,0,0,0,0,0,1,0,4
69,-122.41510553455339,74.26993780298905,-29.525165899457047,0,2,0,0,0,0,0,0,0,1,0,4
41,-25.85839524770248,124.0097679677826,-94.71568479542145,0,2,0,0,0,0,0,0,0,1,0,4
55,-309.22428341664687,3.4356077905034113,74.76759431686291,0,1,4,0,0,4,0,0,0,2,2,2
82,143.4437620994432,-16.741370693701764,-186.60799397011425,0,2,0,0,1,1,0,0,0,1,0,1
96,58.284635066827455,132.4002913845216,-107.09811346629596,0,2,0,0,0,0,0,0,0,1,0,1
97,139.87259989208235,0.40115237076589405,-17.301038047359903,0,2,0,0,0,0,0,0,0,1,0,1
83,137.07665106105904,-55.00154193550888,-48.68372632942947,0,2,0,0,0,0,0,0,0,1,0,1
54,-84.79749130696729,14.370155161871239,20.946518659483136,0,2,0,0,0,0,0,0,0,1,0,4
40,183.4691242692421,-37.18740512139275,-118.99136408427472,0,2,0,0,1,1,0,0,0,1,0,1
68,-64.24536349413506,98.29881963835093,5.916465871032025,0,2,0,0,0,0,0,0,0,1,0,4
120,-26.018098332622294,77.57082856402637,-177.26741861869675,0,2,0,0,0,0,0,0,0,1,0,4
134,-148.19120464354071,-169.96956183193927,-12.116948994126837,0,2,0,0,0,0,0,0,0,1,0,4
108,79.06203402833525,-80.3371663137173,5.636484045152103,0,2,0,0,0,0,0,0,0,1,0,1
122,-264.3882102209338,55.62937035455545,-45.6823082560148,0,1,4,0,0,4,0,0,0,2,2,2
136,-70.59470842547204,29.647947505607867,40.88223486057788,0,2,0,0,0,0,0,0,0,1,0,4
56,-258.5238531574731,58.0665000729628,30.388585599291016,0,1,4,0,0,4,0,0,0,2,2,2
42,-206.4846071821847,-12.036994354556864,16.61985368474699,0,1,4,0,0,4,0,0,0,2,2,2
95,-104.70201380501082,16.270967361473556,-71.83790945596171,0,2,0,0,0,0,0,0,0,1,0,4
81,198.99223138779547,48.01376256324096,-87.83789456808356,2,0,1,0,1,1,0,0,0,0,1,0
80,15.837331895375232,0.34556438545036705,142.47363860123423,0,2,0,0,0,0,0,0,0,1,0,1
94,-70.93742336543049,11.65473737704442,0.39678070161252615,0,2,0,0,0,0,0,0,0,1,0,4
43,115.57467996260455,-22.636880559708864,-98.31511152738436,0,2,0,0,0,0,0,0,0,1,0,1
57,-14.284591564025433,-152.13296819599455,-142.3786353019988,0,2,0,0,0,0,0,0,0,1,0,1
137,55.90541581680996,-117.37559712680468,57.19463645483008,0,2,0,0,0,0,0,0,0,1,0,1
123,18.213223753670565,-14.720780737709518,-78.8037418937773,0,2,0,0,0,0,0,0,0,1,0,4
