,x,y,z,average3,average4,average5,complete3,complete4,complete5,single3,single4,single5,ward3,ward4,ward5
48,103.28814600675777,183.53600924086103,62.849067887264724,0,2,0,2,0,0,0,0,0,1,0,1
60,-36.33162627114866,-75.9819196483502,-100.75493784112966,0,2,0,2,0,0,0,0,0,1,0,4
74,-122.70921064641001,-21.04803368146005,28.864443654490096,0,2,0,2,0,0,0,0,0,1,0,4
75,64.96502765623578,-116.84527002230203,-73.98682761792968,0,2,0,2,0,0,0,0,0,1,0,1
61,388.13760115913675,112.76075559307539,-21.635928367018018,2,0,2,0,1,4,0,0,0,0,1,0
49,254.62061737298956,71.26447416067596,-20.696561873867388,2,0,1,0,2,2,0,0,0,0,1,0
101,-53.75949792081838,115.41611137250675,-74.22138693690516,0,2,0,2,0,0,0,0,0,1,0,4
115,-233.66893788564755,77.68504090708288,6.599979069278208,0,1,4,2,0,1,0,0,0,2,2,2
129,-295.555397007443,-72.04474091909415,135.53690649881847,0,1,4,2,0,1,0,0,0,2,2,2
103,100.51672081754613,22.891731268157216,-115.45376585223946,0,2,0,2,0,0,0,0,0,1,0,1
117,280.8152844490146,-13.512252539201745,-22.385364678273767,2,0,1,0,2,2,0,0,0,0,1,0
77,145.27494898421133,-112.44350038895523,-120.01196346255915,0,2,0,2,0,0,0,0,0,1,0,1
63,182.18459584798038,-171.39405511586685,78.86947571812544,2,0,1,0,2,2,0,0,0,0,1,0
88,73.22719789402127,-137.63772605613715,-31.744317695371084,0,2,0,2,0,0,0,0,0,1,0,1
89,16.758686878153426,8.893531246231683,136.10865819846984,0,2,0,2,0,0,0,0,0,1,0,1
62,-84.46295579869046,150.9731342131949,37.99446957647237,0,2,0,2,0,0,0,0,0,1,0,4
76,-238.24163244846514,-76.62542546454449,33.83121707310994,0,1,4,2,0,1,0,0,0,2,2,2
116,-106.4116470690372,37.20086831048938,-150.5771600510552,0,2,0,2,0,0,0,0,0,1,0,4
102,154.58511968302895,-7.912325072823445,-129.2260996224292,0,2,0,2,0,0,0,0,0,1,0,1
11,323.5102237678558,147.0708007828256,97.5448011172755,2,0,2,0,2,2,0,0,0,0,1,0
5,-133.82836966094413,-75.33247423366159,-103.42797831168642,0,2,0,2,0,0,0,0,0,1,0,4
39,-248.65086687719298,-3.8637313293325493,-52.10071139155205,0,1,4,2,0,1,0,0,0,2,2,2
38,-297.1692438254698,-8.16893190534163,59.06997610819124,0,1,4,2,0,1,0,0,0,2,2,2
4,162.12536252575248,-21.482393086996545,262.2217145620537,2,0,1,0,2,2,0,0,0,0,1,0
10,-207.3016689019684,9.58913128769259,-64.41753979580692,0,1,4,2,0,1,0,0,0,2,2,2
6,15.227897411364612,66.33205279153897,-84.80740556679768,0,2,0,2,0,0,0,0,0,1,0,4
12,145.44642580759097,-33.4645079190187,255.37701660171467,2,0,1,0,2,2,0,0,0,0,1,0
13,231.51013749803565,-77.80568515483678,156.32307216885954,2,0,1,0,2,2,0,0,0,0,1,0
7,284.1310843762204,-93.92426107807074,316.17848800353545,2,0,2,0,1,4,2,2,2,0,1,0
3,231.2592325024614,-76.61525900695922,157.99175982404887,2,0,1,0,2,2,0,0,0,0,1,0
17,41.34255680377107,-43.88735253055192,-79.98654050953336,0,2,0,2,0,0,0,0,0,1,0,1
16,-269.50509030128694,-35.58133583604242,77.0155695147698,0,1,4,2,0,1,0,0,0,2,2,2
2,-211.9934934540263,65.14953203087168,-81.24067737526123,0,1,4,2,0,1,0,0,0,2,2,2
28,-17.670934977289715,-185.88229931790318,44.0788845569454,0,2,0,2,0,0,0,0,0,1,0,1
14,-42.78562347120099,78.06438311674017,-23.44298584310288,0,2,0,2,0,0,0,0,0,1,0,4
0,-75.24924819246596,-60.420359261270974,-76.19783387486086,0,2,0,2,0,0,0,0,0,1,0,4
1,-271.37878608638664,59.32082217637804,-34.69795657259617,0,1,4,2,0,1,0,0,0,2,2,2
15,672.1632208747571,240.8266650108901,464.63999310643857,1,3,3,1,3,3,1,3,3,0,3,3
29,25.881426540297298,-155.99480724685586,-75.4236936339116,0,2,0,2,0,0,0,0,0,1,0,1
30,-310.00446555175967,26.411148756621753,51.37427670648091,0,1,4,2,0,1,0,0,0,2,2,2
24,204.57254069109652,-189.17019804577407,-109.14161736741653,2,0,1,0,2,2,0,0,4,0,1,0
