#Dynamic Filament(grouped by time) CSV version: 1
#time 256
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
30,755.5,1018.5,54.129474,78.274888,4.318668,0.0,0.0,false,29
#time 107
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
190,742.5,1012.5,37.336309,82.303948,3.164317,0.0,0.0,false,29
#time 108
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 118
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
142,800.0,701.0,35.777088,26.565051,1.922835,0.0,0.0,false,30
#time 119
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
128,796.2,697.0,52.387444,26.075356,2.482352,0.138015,0.138015,false,30
#time 120
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
129,808.5,699.0,43.829214,27.149682,3.891995,0.0,0.0,false,30
#time 121
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 139
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
298,763.0,972.0,51.107729,30.579227,2.54274,0.0,0.0,false,31
#time 140
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
165,739.5,982.0,51.0,28.072487,2.808563,0.0,0.0,false,31
#time 141
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
115,721.0,989.5,35.510562,32.347443,2.699086,0.0,0.0,false,31
86,1134.0,1106.3,39.894244,78.407825,2.020266,0.187893,0.187893,false,32
#time 142
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
60,1122.0,1091.0,36.221541,83.659808,3.250646,0.0,0.0,false,32
232,543.0,1125.0,30.594117,101.309932,2.007998,0.0,0.0,false,33
#time 143
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
568,1228.5,516.0,39.204592,37.746805,1.959273,0.0,0.0,false,1
115,1128.4,1116.5,41.204387,90.0,4.589261,0.283925,0.283925,false,32
279,539.0,1115.0,37.363083,105.524111,3.213004,0.0,0.0,false,33
#time 144
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
174,1224.5,525.5,39.115214,32.471192,2.048604,0.0,0.0,false,1
53,536.2,1114.1,40.955854,101.309932,2.704016,0.332724,0.332724,false,33
#time 145
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
228,1217.0,527.5,37.215588,30.699723,2.020287,0.0,0.0,false,1
#time 146
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
285,1227.0,531.5,32.695565,23.428693,1.959931,0.0,0.0,false,1
#time 147
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
#time 148
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
213,677.5,719.0,37.054015,3.094058,1.810119,0.0,0.0,false,2
#time 149
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
15,689.0,728.5,36.124784,4.763642,3.43015,0.0,0.0,false,2
#time 150
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
433,702.3,712.0,34.253924,15.255119,1.712412,0.206117,0.206117,false,2
235,269.0,532.5,51.195703,167.592581,1.833718,0.0,0.0,false,34
285,232.0,945.0,36.221541,173.659808,1.946715,0.0,0.0,false,35
418,184.0,590.0,42.801869,127.405357,1.674379,0.0,0.0,false,36
#time 151
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
289,708.0,699.5,40.607881,9.926246,2.852835,0.0,0.0,false,2
201,257.0,542.5,40.311289,172.874984,3.726331,0.0,0.0,false,34
126,236.5,928.7,55.085997,178.958373,3.621959,0.129344,0.129344,false,35
719,178.5,568.0,34.481879,119.538782,1.891322,0.0,0.0,false,36
326,1288.0,502.5,32.388269,171.119341,2.551607,0.0,0.0,false,37
#time 152
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
353,266.0,546.0,32.249031,172.874984,2.228917,0.0,0.0,false,34
666,227.4,916.2,33.476405,171.384352,1.783657,0.32517,0.32517,false,35
279,175.5,549.3,56.055513,124.824489,1.758399,0.056726,0.056726,false,36
236,1284.5,496.5,33.376639,171.384352,2.022828,0.0,0.0,false,37
41,409.0,1200.0,54.037024,2.121096,4.380097,0.0,0.0,false,38
209,942.5,1227.3,59.553886,172.278174,4.498014,-0.053394,0.053394,false,39
221,1049.2,1194.4,34.281274,20.556045,3.030338,0.427769,0.427769,false,40
409,161.0,1202.0,36.71512,119.357754,1.952092,0.0,0.0,false,41
705,183.5,1044.0,32.572995,17.878697,1.964836,0.0,0.0,false,42
736,1064.0,1162.5,39.661064,56.309932,1.760266,0.0,0.0,false,43
767,999.5,1033.0,31.32092,106.699244,2.073418,0.0,0.0,false,44
853,294.5,1212.5,41.012193,135.0,1.731585,0.0,0.0,false,45
#time 153
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
684,1268.0,507.5,34.132096,174.957549,1.777423,0.0,0.0,false,37
136,421.5,1201.0,53.150783,0.0,4.067467,0.162464,0.162464,false,38
218,937.5,1226.0,39.812058,168.407825,3.351814,0.0,0.0,false,39
649,1051.0,1189.0,42.047592,25.346176,1.778991,0.0,0.0,false,40
764,147.5,1199.0,37.802116,127.47618,1.712374,0.0,0.0,false,41
691,175.0,1052.0,33.526109,17.354025,1.941939,0.0,0.0,false,42
760,1071.6,1161.7,39.768744,49.085617,1.752309,0.221792,0.221792,false,43
765,1007.5,1037.5,31.400637,99.162347,1.921946,0.0,0.0,false,44
546,291.5,1221.5,43.84062,135.0,1.737844,0.0,0.0,false,45
325,1311.0,1168.0,36.221541,96.340192,2.892514,0.0,0.0,false,46
444,209.5,1041.0,34.132096,84.957549,2.095402,0.0,0.0,false,47
520,174.0,1028.5,40.804412,107.102729,1.736686,0.0,0.0,false,48
617,196.5,1145.5,31.144823,95.52754,1.901478,0.0,0.0,false,49
#time 154
%filaments
#number,center_x,center_y,length,angle,width,signed_curv,total_curv,verified,dynFilamentNumber
